# Registry of static secrets sealed from secrets/.secrets via `just seal`.
# Add a row to add a secret. Values live in secrets/.secrets (gitignored), never here.
# columns: secret-name  namespace  outfile  key=ENVVAR[,key=ENVVAR...]
# ENVVAR prefixed `generate:` is auto-generated once and cached in secrets/.secrets.generated
# (gitignored) instead of requiring a value in secrets/.secrets — use for arbitrary internal
# shared secrets, never for credentials that must match an external system.
cloudflare-api-token     cert-manager   config/cert-manager/cloudflare-api-token.yaml  api-token=CLOUDFLARE_API_TOKEN
cloudflare-api-token     external-dns   system/external-dns/cloudflare-token.yaml       api-token=CLOUDFLARE_API_TOKEN
vaultwarden-admin-token  vaultwarden    apps/vaultwarden/admin-token.yaml                token=VAULTWARDEN_ADMIN_TOKEN
gluetun-vpn-creds        qbittorrent    apps/qbittorrent/gluetun-vpn-creds.yaml          WIREGUARD_PRIVATE_KEY=WIREGUARD_PRIVATE_KEY,WIREGUARD_ADDRESSES=WIREGUARD_ADDRESSES
operator-oauth           tailscale      platform/tailscale/operator-oauth.yaml           client_id=TAILSCALE_CLIENT_ID,client_secret=TAILSCALE_CLIENT_SECRET
arr-api-key              sonarr         apps/sonarr/arr-api-key.yaml                     SONARR__AUTH__APIKEY=generate:SONARR_API_KEY
arr-api-key              radarr         apps/radarr/arr-api-key.yaml                     RADARR__AUTH__APIKEY=generate:RADARR_API_KEY
arr-api-key              prowlarr       apps/prowlarr/arr-api-key.yaml                   PROWLARR__AUTH__APIKEY=generate:PROWLARR_API_KEY
arr-api-key              lidarr         apps/lidarr/arr-api-key.yaml                     LIDARR__AUTH__APIKEY=generate:LIDARR_API_KEY
recyclarr-api-keys       recyclarr      apps/recyclarr/api-keys.yaml                     SONARR_API_KEY=generate:SONARR_API_KEY,RADARR_API_KEY=generate:RADARR_API_KEY
arr-api-keys             homepage       apps/homepage/arr-api-keys.yaml                  SONARR_API_KEY=generate:SONARR_API_KEY,RADARR_API_KEY=generate:RADARR_API_KEY,LIDARR_API_KEY=generate:LIDARR_API_KEY
navidrome-homepage-token homepage       apps/homepage/navidrome-token.yaml               user=NAVIDROME_HOMEPAGE_USER,token=NAVIDROME_HOMEPAGE_TOKEN,salt=NAVIDROME_HOMEPAGE_SALT
unpackerr-api-keys       unpackerr      apps/unpackerr/api-keys.yaml                      UN_SONARR_0_API_KEY=generate:SONARR_API_KEY,UN_RADARR_0_API_KEY=generate:RADARR_API_KEY,UN_LIDARR_0_API_KEY=generate:LIDARR_API_KEY
ntfy-webhook-url         monitoring-system  system/monitoring-system/ntfy-webhook-url.yaml    url=NTFY_WEBHOOK_URL
deadmanssnitch-url       monitoring-system  system/monitoring-system/deadmanssnitch-url.yaml  url=DEADMANSSNITCH_URL
